url,doctype,eval1,eval2,score,pages,project_title_cond,summary_desc_cond,project_id_cond,implementing_partner_cond,start_date_cond,end_date_cond,budget_cond,concept_note_cond,project_document_cond,awp_cond,title,last_update,keyword,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/DCCE ProDoc signed.pdf,pdf,good,not ok,4,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Promoting low Carbon in Dubai PD signature page,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/Final- Memorandum of Amendment  II.docx,docx,bad,review,3,9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/GGR PRODOC.pdf,pdf,good,ok,7,11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Gender Gap Report Prodoc,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/Hydro Meteorological  Project 15067 Doc.pdf,pdf,good,ok,5,19,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/MDG Report 2010-PD signed.pdf,pdf,bad,review,0,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/micad signed PD.pdf,pdf,bad,review,0,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Enhancing the Capacities of the Ministry of development and International Cooperation,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/MOFT 2011 ProDoc_77176.pdf,pdf,bad,review,1,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Support and capacity development for MOFT pro doc,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/MSA Poverty Study ProDoc.docx,docx,good,ok,7,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/PD signed.pdf,pdf,good,ok,6,8,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,EE publications ProDoc,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/PID MOC.pdf,pdf,good,ok,4,12,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,National Youth Strategy,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/PRODOC PID SDG_RA-14April.docx,docx,good,ok,7,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,PRODOC - SDG Advocacy,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/Project doc_78940.pdf,pdf,good,not ok,4,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Dubai Carbon Centre of Excellence,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/Project Document - Sustainable Arabia 2011.doc ES.doc,doc,bad,ok,2,16,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Draft 2nd Green Economy Conference Concept Note,10/03/21,,,,,,,,,
"https://info.undp.org/docs/pdc/Documents/ARE/project document,44491.pdf",pdf,good,ok,5,5,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Project document MOE,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/Signed Memorandum of Amendment for DCCE Sep 2011.pdf,pdf,bad,ok,3,12,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/Social Conference PD.pdf,pdf,bad,review,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/UAE HDR project Document.pdf,pdf,good,ok,5,17,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/UNDP HDR3 Revision 13Dec2012.pdf,pdf,good,not ok,6,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/WGEO PRoDoc signed.pdf,pdf,good,ok,5,29,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/مسودة وثيقة المشروع المعدلة- 3August.doc,doc,bad,review,0,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,7,43,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,not ok,2,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Project Document - AFG - Security,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,4,8,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Project Document - AFG - Environment,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,3,20,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Project Document - AFT - Governance,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/00047681_Project document and agreement.pdf,pdf,bad,review,1,34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00011123_PRODOC - Ambriz Fishing - Phase II.pdf,pdf,bad,review,2,21,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ATG/00038945_43446 ProDoc.pdf,pdf,good,ok,4,60,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,review,1,36,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,3,44,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Project Document - AFG - Governance,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,0,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Project Document - AFG - Human rights,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,2,18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Project Document - AFG - Governance,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,3,18,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Project Document - AFG - Environment,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/00049138_Drini - Mati Project Document.pdf,pdf,bad,ok,3,86,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/00058984_Project Document signed CENSUS.pdf,pdf,good,ok,5,20,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,ProDoc,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/00061049_77148 AMAAD.pdf,pdf,bad,review,2,46,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00036249_Prodoc_DLG-English.pdf,pdf,bad,ok,3,25,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00037249_Prodoc-AEP.pdf,pdf,bad,review,0,63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00040779_TB PRODOC.pdf,pdf,bad,ok,1,19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00040920_PRODOC - Environment - PAEA- Portuguese.pdf,pdf,bad,ok,0,79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ATG/00045493_53747 ATG PRODOC.pdf,pdf,bad,ok,3,156,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ATG/5425 CCCD Antigua and Barbuda IP signed.pdf,pdf,good,ok,6,14,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5425 CCCD Antigua and Barbuda IP signed,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ATG/5425_CCCD_Antigua and Barbuda_ProDoc 7 Sep 2017.docx,docx,good,ok,7,183,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,ProDoc ,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,1,36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,1,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,1,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,1,39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,1,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,review,2,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,1,51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,review,3,8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/1BUR-4NC -Signature page.pdf,pdf,good,not ok,7,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/2 2 5 AWP AMMCO.pdf,pdf,bad,review,2,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/2014 AWP 1.2.5_final.pdf,pdf,bad,review,2,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AZE/00011280_AZ_UNDP_SPS_prodocI.pdf,pdf,bad,ok,3,20,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Project Document,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00041138_PRODOC_HIV_GF.pdf,pdf,bad,ok,2,13,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00044526_SLM ProDoc.pdf,pdf,bad,review,1,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00044798_00052802 - PRODOC 2006-2009 PARMJ1.pdf,pdf,bad,review,0,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00044904_PRODOC - Support to Civic Education.pdf,pdf,good,ok,4,11,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ATG/5425_CCCD_Antigua and Barbuda_ProDoc final.pdf,pdf,good,ok,6,143,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Monitoring and Assessment of MEA ProDoc - Antigua,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ATG/ANT NAP PRODOC.pdf,pdf,good,ok,7,75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ANTIGUA NATIONAL ACTION PLAN ALIGNMENT,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ATG/Antigua Barbuda Final Signed Project Document_14MAY2018.pdf,pdf,good,ok,7,24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Signed Project Document,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ATG/Antigua PAC Min 10 Oct 2014.pdf,pdf,bad,not ok,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Antigua PAC Mins,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARM/00059937_Buildings-ProDoc-2010.pdf,pdf,good,ok,4,70,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/BDI/00039512_Axe 2  Relèvement Communautaire[2].pdf,pdf,bad,ok,1,44,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/BHR/2011PRODOCCDF.pdf,pdf,good,ok,7,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,1,38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,review,1,36,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,not ok,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,not ok,2,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,review,0,43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,2,17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,review,1,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,review,1,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/2014 AWP 4.1.5 final.pdf,pdf,bad,review,2,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/2014 AWP 4.4.1 final.pdf,pdf,bad,review,2,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/2014 AWP Output 1 1 1 Final.pdf,pdf,bad,review,2,15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/2014 AWP Output 1 1 2 + 1 1 3 Final.pdf,pdf,bad,review,0,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AZE/00011280_AZ_UNDP_SPS_prodocII.pdf,pdf,good,ok,4,16,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Project Document,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AZE/00011285_AZ_UNDP_Pension_Fund_Pro_Doc_2009.pdf,pdf,good,ok,6,39,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Project Document,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AZE/00011285_AZ_UNDP_Pension_Fund_Pro_Doc_2011.pdf,pdf,good,ok,4,23,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Project Document,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AZE/00036010_AZ_UNDP_NICTS II_Pro_Doc_2004.pdf,pdf,good,ok,4,26,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Project Document,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00045302_FV__English_INAD_Project_Document_09_2006.pdf,pdf,bad,ok,2,38,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00047708_Prodoc_CNIDAH_2005-2006_English_FV.pdf,pdf,bad,ok,3,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00050950_PRODOC Signed - GSB.pdf,pdf,good,ok,4,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/AGO/00050951_PRODOC Signed - Entrepreneurship.pdf,pdf,bad,review,3,44,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ATG/draft ANU AWP 2014 (rev2).docx,docx,good,ok,5,23,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Project Document Template,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ATG/Final Housing Support to Barbuda Prodoc.pdf,pdf,good,ok,7,68,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARM/00060737_TNC-ProDoc-2011.pdf,pdf,bad,ok,3,80,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARM/00081881_AWP.pdf,pdf,bad,ok,1,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Signed Prodoc,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARM/00081881_AWP_Rev C.pdf,pdf,bad,not ok,2,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Budget Revision C,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/BDI/00039512_Projet Reintegration Ex combattants. V 06 01 2010_1[1].doc,doc,bad,ok,3,26,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Projet de réintégration des ex combattants  soumis au financement par le  Gouvernement du  Japon,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/BDI/00049336_PRODOC 630082.doc,doc,bad,ok,2,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/BHR/20120411GEMPIProjDoc.pdf,pdf,good,ok,4,30,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/BHR/BHR_DPC_Project,org/docs/pdc/documents/bhr/bhr_dpc_project,bad,not ok,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Implementation Support and Monitoring,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/BHR/BHR_DPC_Project.pdf,pdf,good,ok,7,11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,review,2,19,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,review,1,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,1,59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,2,26,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,4,22,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,3,14,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,3,67,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,10/03/21,,,,,,,,,
Document deleted,document deleted,ok,ok,2,44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/2014 AWP Output 1 1 2 Final.pdf,pdf,bad,review,0,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ALB/2015 AWP Output 3.2 - final signed.pdf,pdf,bad,review,0,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
